Year;co2_conc;sea_level;temp_change
1958;315.315;;
1959;316.03;;
1960;316.70500000000004;;
1961;317.355;;0.211
1962;318.245;;0.038
1963;318.905;;0.168
1964;319.78999999999996;;-0.246
1965;319.94;;-0.223
1966;321.315;;0.201
1967;322.41499999999996;;-0.117
1968;323.02;;-0.126
1969;324.27;;-0.092
1970;325.555;;0.15
1971;326.425;;-0.093
1972;327.59000000000003;;-0.199
1973;329.435;;0.269
1974;330.145;;-0.181
1975;331.12;;0.088
1976;332.18;;-0.314
1977;333.385;;0.269
1978;335.1;;0.001
1979;336.75;;0.226
1980;338.315;;0.332
1981;340.23;;0.443
1982;341.345;;0.086
1983;342.995;;0.46
1984;344.96000000000004;;0.127
1985;346.27;;-0.031
1986;347.485;;0.242
1987;349.1;;0.403
1988;351.65999999999997;;0.558
1989;353.25;;0.331
1990;354.65;;0.639
1991;355.515;;0.468
1992;356.745;-16.799999999999997;0.184
1993;357.26;-16.72941176470588;0.348
1994;359.07000000000005;-13.126470588235295;0.507
1995;360.90999999999997;-9.61875;0.835
1996;362.875;-6.256060606060606;0.355
1997;364.335;-4.489393939393939;0.656
1998;366.70000000000005;-4.95;0.993
1999;368.815;-3.274242424242424;0.783
2000;369.77;-1.0235294117647058;0.728
2001;371.55;3.988888888888889;0.834
2002;373.675;7.632142857142857;1.021
2003;375.995;11.550945945945946;0.893
2004;377.66499999999996;12.955772200772202;0.913
2005;380.11;13.986453867660765;1.095
2006;382.21;18.11;0.998
2007;384.155;18.192432432432433;1.195
2008;385.925;24.201344537815125;0.935
2009;387.66499999999996;25.873873873873876;0.957
2010;390.20000000000005;27.18783783783784;1.219
2011;392.055;25.54846096096096;0.921
2012;394.3;36.494298986486484;1.074
2013;397.03;36.647899159663865;1.016
2014;398.67499999999995;41.10944444444445;1.053
2015;401.005;49.89675675675676;1.412
2016;404.41999999999996;52.895708435708436;1.66
2017;406.83000000000004;52.30681467181467;1.429
2018;408.71;57.677297297297294;1.29
2019;411.96;63.869189189189186;1.444
2020;414.275;66.62166666666667;1.711
2021;416.69500000000005;71.82324324324324;1.447
2022;418.805;72.808125;1.394
